hash,result,filename,painlessmaple,pakis,mallobparallel,pmcomsps,pmcomspscom,abcdparascavel,pmcomspsstrsc,mergehordesatparallel,plingeling
1bb9929010e0c209f1e59dedba54d9ad,sat,edit_distance023_282.cnf.xz,194.43,145.18,378.31,83.54,113.54,memout,106.77,213.78,752.41
1c35c510ad106bfcdbc76ff49e710ce6,unsat,ER_500_40_2.apx_0.cnf.xz,47.29,276.12,11.48,21.32,19.32,54.61,22.97,108.29,23.01
1ce81dbba1292bf791e194b17aa2a219,unsat,satch2ways15u.cnf.xz,824.35,336.11,570.83,268.40,1187.53,1953.22,539.25,1565.30,1016.97
1d72814d7329f6d6213a7397ed366fe9,sat,Circuit_multiplier37.cnf.xz,3.13,7.06,4.66,14.22,2.19,memout,6.46,46.38,19.96
1dce69ee6685597d6c56e5fd7a47f8e0,unknown,SC21_Timetable_C_136_E_41_Cl_9_S_15.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
21fbe69cf7c0b41e205b52d970f9a43a,unsat,string_compare_safety_cbmc_unwinding_870.cnf.xz,3371.12,1310.88,1081.22,545.03,591.23,4024.77,685.94,2634.87,3396.88
22505280326ec66ba807b8b4edc48e1a,sat,Circuit_multiplier18.cnf.xz,1934.65,916.16,835.37,5150.94,4848.91,timeout,timeout,timeout,3663.65
2260d28ec773357e73e5ee60aeac0f43,sat,b2005-p1-12x12c10h7-Ser3-0.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
2285ff99f985f8f926d5159299cc8787,unsat,73.smt2.cnf.xz,118.59,143.30,62.74,54.56,64.57,282.02,63.68,196.93,315.23
22922a96c4bdac643b69069355c5db28,unsat,assoc_mult_err_3.c.cnf.xz,40.22,26.07,19.49,23.41,21.41,71.50,26.51,55.88,27.34
22ede342b1973bf82c2c2106616cc8d9,unsat,at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,306.23,128.51,44.78,36.76,41.08,88.11,41.86,99.53,25.88
24075575c3dbd9e9eae948dd2241b029,unsat,UR-15-10p0.cnf.xz,187.67,289.94,64.84,62.05,67.20,165.73,92.19,243.87,64.30
25ba6d2b7503d699ee95bf4bcd0864c5,unknown,quad_res_r37_m39.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
25cc054738293c0d9377d7b72b78a341,unsat,string_compare_safety_cbmc_unwinding_900.cnf.xz,3285.47,1241.84,1470.63,579.40,647.60,4311.25,733.70,2177.14,3585.16
25cfa39c61494e9e793f6c6a9ec44be3,unsat,puzzle51_unsat.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
263457bc6aafa3b1f5999bc2ddfe3caf,unsat,ktf_TF-4.tf_2_0.02_18.cnf.xz,24.28,36.08,14.70,13.44,14.43,35.58,15.72,39.96,27.09
273d42b3d97294b660745c7bc632474e,sat,edit_distance025_450.cnf.xz,timeout,754.28,timeout,timeout,timeout,timeout,550.85,416.26,timeout
28792301119a25fb8edec6cde91eee21,sat,sokoban-sequential-p145-microban-sequential.070-NOTKNOWN.cnf.xz,1354.01,timeout,3679.80,1029.53,600.24,timeout,942.81,705.20,3410.25
28aeefb8abe1d29211552650e14e7579,unknown,bv-term-small-rw_1294.smt2.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
2925ee90763e08b2f7e79c7c713c86b9,sat,at-least-two-ibm-2004-23-k100.cnf.xz,200.79,182.16,322.30,152.66,158.22,memout,186.84,memout,359.02
29b7d5a498eff7a98fcd03a273eaeba3,sat,Kakuro-easy-132-ext.xml.hg_8.cnf.xz,2742.55,538.73,timeout,1247.29,529.77,timeout,542.41,2931.46,4968.37
29e101b66dfddb440e974b9feec5b1aa,unsat,spg_200_307.cnf.xz,53.61,29.50,18.42,58.58,61.67,90.30,61.04,73.53,15.85
2a0b27b48cde394ba99cc0a0e3737fc6,unsat,mp1-Nb6T07.cnf.xz,2676.30,367.10,424.98,364.28,431.27,timeout,407.64,651.26,472.81
2a0f12ac393b2fb15f0dcc45c00e7434,unknown,sum_of_3_cubes_108_bits_52.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
2a6f21741efb8f8abbfdfe30f22ba9f8,unsat,Mycielski-11-hints-4.cnf.xz,288.13,344.80,333.64,234.51,204.32,248.39,228.16,145.12,480.48
2ba50be551d72853ba662e11371b24c1,unsat,at-least-two-traffic_b_unsat.cnf.xz,99.76,204.52,57.23,37.72,43.78,86.21,43.98,107.12,129.28
2dd2843e84e1c73b9a3fd45d4f13a2fa,unsat,ktf_TF-3.tf_2_0.02_24.cnf.xz,1471.64,3518.54,726.22,322.63,652.66,2324.97,memout,2441.59,3013.91
30c44e6084a893593d64d500551872cb,sat,Circuit_multiplier34.cnf.xz,377.28,1.03,116.39,193.25,128.23,memout,99.23,120.17,483.98
31311e688a1ec28c827c0878786e3c18,sat,puzzle42_sat.cnf.xz,timeout,1060.32,timeout,timeout,timeout,timeout,timeout,5383.11,timeout
314b63e5b44a2c441e10d197f797e18b,unsat,ak032modbtmodbtisc.cnf.xz,276.39,584.16,33.10,71.45,63.44,2589.00,82.68,194.79,78.70
316e22c7acf697be27514ffda0381ebc,sat,2bitcomp_5.hg_20.cnf.xz,61.86,2172.66,timeout,timeout,timeout,timeout,timeout,3237.49,timeout
31c4aacd83bfd2aa7a9762a5b463b992,sat,MVD_ADS_S11_7_7.cnf.xz,660.84,1.77,1.50,2682.64,2636.78,memout,2987.71,8.81,557.95
31e9cd07f730b20faa7c3d0f1ba2ea2e,sat,b04_s_unknown_pre.cnf.xz,64.92,11.76,85.58,51.05,36.01,memout,36.37,153.80,122.31
